阿武山	ABU	34.8635	135.5706	137m	172m	166m	60m
赤泊	ADM	37.9046	138.4303	275m	36m	35m	35m
奄美大島	AMM	28.1571	129.3001	12m	70m	58m	43m
青ヶ島	AOG	32.4508	139.774	84m	21m	20m	43m
足尾	ASI	36.6342	139.4206	663m	51m	48m	30m
銚子	CHS	35.7055	140.8517	52m			
富士川	FUJ	35.2307	138.4181	618m	143m	40m	40m
福江	FUK	32.7177	128.7572	75m	30m	29m	28m
五城目	GJM	39.9555	140.1113	105m	45m	15m	10m
日高	HID	42.8208	142.4145	228m	1000m	230m	90m
八丈	HJO	33.1048	139.8024	87m	36m	35m	44m
本川根	HKW	35.0965	138.1349	449m			
広野	HRO	37.2246	140.8777	615m	49m	46m	24m
札幌	HSS	42.9672	141.2286	220m	shaft		25m
石垣	IGK	24.4131	124.1808	77m	50m	47m	23m
今金	IMG	42.3928	140.1406	50m	28m	28m	15m
中津	INN	33.4701	131.3062	168m	30m	27m	24m
徳島	ISI	34.0606	134.4554	27m	67m	64m	14m
岩槻	IWT	35.929	139.7349	6m			
山形	IYG	40.1217	141.5833	427m	50m	48m	35m
厳原	IZH	34.1359	129.2066	384m	50m	48m	25m
中伊豆	JIZ	34.9167	138.9938	263m	52m	42m	35m
甲府	KFU	35.7426	138.5658	590m			
国頭	KGM	26.7567	128.2153	102m	50m	46m	30m
紀和	KIS	33.8652	135.8907	66m	115m	75m	70m
上富田	KMT	33.6782	135.4899	152m	36m	35m	29m
上杵臼	KMU	42.2391	142.9625	177m	26m	23m	10m
金山	KNM	35.7168	137.1781	338m	50m	49m	32m
訓子府	KNP	43.7625	143.7084	158m	44m	43m	27m
金谷	KNY	34.8738	138.0628	258m	50m	46m	36m
川崎	KSK	38.2585	140.5833	318m	50m	47m	40m
気仙沼	KSN	38.9762	141.5301	260m	46m	23m	30m
釧路	KSR	42.982	144.4851	17m	36m	35m	18m
永田	KYK	30.3781	130.4099	310m	21m	16m	13m
柏崎	KZK	37.2977	138.5143	250m	80m	79m	60m
神津島	KZS	34.2056	139.1485	191m	36m	35m	46m
三厩	MMA	41.1619	140.4107	80m	30m	28m	23m
旭	NAA	35.2239	137.3622	200m	130m	100m	65m
中川	NKG	44.8017	142.0849	30m	36m	35m	24m
根室	NMR	43.3673	145.7379	20m	44m	17m	8m
野上	NOK	34.1656	135.3478	94m	50m	48m	34m
西興部	NOP	44.3218	142.9384	125m	36m	34m	25m
成羽	NRW	34.7682	133.5325	199m	50m	46m	46m
錦	NSK	34.3403	132.0018	211m	460m	150m	65m
大須賀	OHS	34.6858	138.0122	68m			
大川	OKW	33.8272	133.4691	827m	36m	34m	50m
鬼石	ONS	36.1557	138.9822	478m	50m	48m	32m
大鰐	OOW	40.4689	140.5097	205m	36m	35m	26m
小笠原	OSW	27.0983	142.1961	11m	61m	54m	42m
西郷	SAG	36.2553	133.305	70m	36m	35m	37m
背振	SBR	33.5052	130.253	260m	30m	29m	28m
新発田	SBT	37.9683	139.4501	130m	49m	33m	30m
都留菅野	SGN	35.5096	138.9444	785m	17m	16m	20m
斜里	SHR	44.0563	144.9944	110m	36m	35m	27m
紫尾山	SIB	31.9698	130.3486	655m	18m	15m	10m
清水	SMZ	34.9904	138.5136	0m			
白峰	SRN	36.2018	136.6303	472m	36m	35m	40m
外海	STM	32.887	129.7237	144m	36m	35m	44m
田代	TAS	31.1946	130.9093	504m	50m	48m	39m
多賀	TGA	35.1847	136.3383	297m	50m	48m	51m
玉川	TGW	33.9734	132.9319	299m	50m	49m	50m
高隈	TKA	31.516	130.783	535m	10m		5m
竹田	TKD	32.8179	131.3875	749m	30m	29m	24m
高岡	TKO	31.8931	131.2321	88m	18m	9m	8m
砥用	TMC	32.6063	130.9151	283m	50m	48m	60m
泊	TMR	41.1016	141.3831	120m	35m	33m	20m
中川	TNK	44.7779	142.0791	60m			
天竜	TNR	34.9111	137.8822	140m			
西土佐	TSA	33.1781	132.82	141m	50m	46m	42m
つくば	TSK	36.2141	140.0898	173m	59m	56m	41m
高遠	TTO	35.8363	138.1209	1149m	30m	28m	23m
館山	TYM	34.9745	139.8449	22m		50m	48m
遠野山崎	TYS	39.3772	141.5932	346m	51m	50m	32m
馬路	UMJ	33.5795	134.0367	361m	50m	47m	57m
浦幌	URH	42.9298	143.6711	80m	45m	44m	34m
輪島	WJM	37.4021	137.0257	200m	36m	35m	28m
度会	WTR	34.3739	136.5748	94m	50m	48m	32m
弥栄	YAS	35.657	135.1605	231m	50m	47m	45m
八溝	YMZ	36.9267	140.2445	520m	49m	35m	40m
与那国	YNG	24.455	123.007	83m	36m	35m	20m
吉田	YSI	35.1942	132.8862	385m	50m	48m	42m
豊田	YTY	34.2835	131.0364	155m	50m	49m	30m
山崎	YZK	35.0888	134.4594	329m	50m	40m	34m
座間味	ZMM	26.2328	127.3038	21m	23m	20m	16m
